name,type,ra_deg,dec_deg,mag
B033,DrkN,85.245833,-2.458333,
C009,HII,344.475000,62.518333,
C014,*Ass,35.175000,57.137500,
C041,OCl,66.725000,15.866667,
C099,DrkN,187.829167,-63.743333,
Cl399,*Ass,291.350000,20.183333,3.6
ESO056-115,G,80.893750,-69.756111,0.29
ESO097-013,G,213.291458,-65.339222,10.56
ESO107-004,G,315.873417,-67.181333,11.97
ESO121-006,G,91.874417,-61.807583,12.6
ESO121-026,G,95.411458,-59.739917,11.94
ESO138-010,G,254.762292,-60.216028,11.42
ESO142-019,G,293.329000,-58.114250,11.93
ESO183-030,G,284.233083,-54.545444,11.67
ESO185-054,G,300.862625,-55.947167,11.24
ESO208-021,G,113.484375,-50.443028,11.22
ESO213-011,G,154.231333,-48.881083,11.87
ESO221-026,G,212.099208,-47.970472,11.06
ESO265-007,G,166.956542,-46.524306,11.38
ESO269-057,G,197.518458,-46.437333,11.86
ESO270-017,G,203.697083,-45.547500,11.72
ESO273-014,G,224.626542,-47.698944,11.96
ESO274-001,G,228.557667,-46.807944,11.19
ESO311-012,G,116.891875,-41.452139,11.83
ESO351-030,G,15.038958,-33.709028,8.6
ESO356-004,G,39.997208,-34.449194,7.4
ESO358-063,G,56.579208,-34.943556,11.89
ESO373-008,G,143.339625,-33.033500,11.93
ESO380-001,G,183.688000,-35.509806,11.89
ESO380-006,G,183.892792,-35.629750,11.54
ESO383-087,G,207.322917,-36.063444,10.91
ESO390-006,GCl,247.167083,-35.353611,12.0
ESO428-011,G,108.880333,-29.359028,11.89
ESO443-024,G,195.253292,-32.441306,11.84
ESO462-015,G,305.807667,-27.714556,11.92
ESO494-026,G,121.546208,-27.528417,11.51
ESO495-021,G,129.063042,-26.409389,11.83
ESO507-025,G,192.882667,-26.452083,11.6
ESO556-015,G,95.273167,-20.048417,11.83
H05,OCl,186.816667,-60.778333,7.1
H13,OCl,255.962500,-48.083333,
H20,OCl,298.275000,18.333333,7.7
H21,OCl,358.555000,61.740000,9.0
HCG079,GGroup,239.799583,20.758611,
HCG092,GGroup,338.995833,33.958333,
IC0001,**,2.112708,27.717667,
IC0002,G,2.753667,-12.822861,15.46
IC0003,G,3.025375,-0.415222,14.78
IC0004,G,3.362250,17.486444,14.14
IC0005,G,4.395542,-9.543361,14.57
IC0006,G,4.729333,-3.276083,14.57
IC0007,G,4.721500,10.594694,14.63
IC0008,G,4.761333,-3.222083,15.16
IC0009,G,4.933250,-14.121889,15.41
IC0010,G,5.072250,59.303778,10.35
IC0011,Dup,13.247292,56.621889,
IC0012,G,5.062708,-2.653111,15.08
IC0013,G,5.083708,7.700500,14.93
IC0014,**,5.630375,10.490250,
IC0015,G,6.989958,-0.061278,15.9
IC0016,G,7.031875,-13.093917,15.15
IC0017,G,7.124083,2.648611,14.77
IC0018,G,7.145667,-11.586694,15.03
IC0019,G,7.164500,-11.640778,15.15
IC0020,G,7.165333,-13.010306,14.88
IC0021,G,7.293458,-0.163778,15.54
IC0022,G,7.388208,-9.080750,14.73
IC0023,G,7.711667,-12.720250,15.05
IC0024,**,7.819292,30.839306,
IC0025,G,7.800375,-0.407361,15.29
IC0026,Dup,7.941417,-13.337472,
IC0027,G,8.276000,-13.371500,15.82
IC0028,G,8.286333,-13.456278,15.56
IC0029,G,8.545000,-2.177639,15.79
IC0030,G,8.561333,-2.084583,15.17
IC0031,G,8.602625,12.268167,15.62
IC0032,G,8.757042,-2.141694,16.15
IC0033,G,8.771500,-2.137694,15.29
IC0034,G,8.901750,9.124250,13.77
IC0035,G,9.416167,10.357972,14.96
IC0036,G,9.456875,-15.441278,15.54
IC0037,G,9.642417,-15.358694,16.23
IC0038,G,9.661500,-15.419833,15.02
IC0039,Dup,9.785000,-14.172833,
IC0040,G,9.839167,2.456222,15.04
IC0041,G,9.918208,-14.174333,15.2
IC0042,G,10.274333,-15.428083,15.38
IC0043,G,10.591917,29.641639,13.25
IC0044,Dup,10.566167,0.845500,
IC0045,Other,10.651417,29.655250,
IC0046,G,10.741542,27.253472,14.28
IC0047,G,10.729208,-13.740722,16.09
IC0048,G,10.893625,-8.186500,13.16
IC0049,G,10.983875,1.850278,13.78
IC0050,G,11.523792,-9.503000,14.74
IC0051,G,11.600917,-13.442361,13.75
IC0052,G,12.099083,4.091861,15.31
IC0053,G,12.669875,10.600278,15.33
IC0054,**,12.695208,-2.287778,
IC0055,G,12.926625,7.718528,15.01
IC0056,G,12.874750,-12.844306,15.14
IC0057,G,13.702083,11.841194,15.48
IC0058,G,13.760167,-13.678083,15.51
IC0059,RfN,14.369208,61.143667,
IC0060,G,14.017625,-13.357917,15.75
IC0061,G,14.280000,7.507083,15.23
IC0062,G,14.683083,11.808000,14.97
IC0063,HII,14.870167,60.911694,13.33
IC0064,G,14.851750,27.059056,13.96
IC0065,G,15.230917,47.681972,13.6
IC0066,G,15.135417,30.797222,14.1
IC0067,NonEx,15.073583,-6.910750,
IC0068,NonEx,15.090208,-6.944111,
IC0069,G,15.348583,31.040833,14.65
IC0070,G,15.266458,0.050750,16.77
IC0071,*,15.330250,-6.767167,
IC0072,*,15.394625,-6.777944,
IC0073,G,16.220625,4.767139,15.38
IC0074,G,16.483125,4.090250,15.59
IC0075,G,16.798375,10.836889,14.98
IC0076,G,17.048792,-4.554500,15.44
IC0077,G,17.182292,-15.420917,15.04
IC0078,G,17.198750,-15.845083,15.24
IC0079,G,17.207125,-15.948583,14.93
IC0080,GPair,17.212083,-15.407500,
IC0080 NED01,G,17.211250,-15.408944,14.83
IC0080 NED02,G,17.213042,-15.406306,12.9
IC0081,G,17.342750,-1.695861,14.53
IC0082,G,17.274125,-16.000306,14.85
IC0083,G,17.624083,1.689361,15.16
IC0084,G,17.856667,1.640194,15.21
IC0085,*,17.956458,-0.452472,
IC0086,G,18.368833,-16.241667,15.31
IC0087,G,18.565792,0.765333,15.37
IC0088,G,18.630417,0.791750,18.07
IC0089,Dup,19.015042,4.294111,
IC0090,G,19.126458,-7.977139,14.85
IC0091,G,19.664292,2.553667,16.48
IC0092,Dup,19.952083,32.767778,
IC0093,G,19.759750,-17.060389,13.57
IC0094,*,20.022875,32.717333,
IC0095,G,19.824500,-12.574139,16.2
IC0096,G,20.138417,29.617250,14.65
IC0097,Dup,20.008333,14.861056,
IC0098,G,20.228667,-12.604722,16.3
IC0099,G,20.614000,-12.952556,15.82
IC0100,G,20.724833,-4.643028,14.48
IC0101,G,21.035625,9.930528,15.03
IC0102,G,21.109708,9.886556,15.57
IC0103,G,21.151833,2.044250,15.36
IC0104,**,21.140000,-1.456722,8.79
IC0105,G,21.192708,2.075278,15.59
IC0106,Dup,21.173542,-1.587083,
IC0107,G,21.352750,14.864611,14.25
IC0108,G,21.162333,-12.635583,15.48
IC0109,G,21.304542,2.066222,14.87
IC0110,Other,21.444167,33.514694,
IC0111,Other,21.500542,33.497111,
IC0112,G,21.512583,11.442972,14.17
IC0113,G,21.606250,19.191972,
IC0114,G,21.594083,9.909944,15.62
IC0115,G,21.726833,19.214694,14.03
