id,name,ra_deg,dec_deg,mag
0,Sol,0.000000,0.000000,-26.70
25,HIP 25,0.079500,-44.290561,6.28
34,HIP 34,0.099570,26.918108,6.43
43,HIP 43,0.128895,59.559679,6.18
50,HIP 50,0.142995,-53.097713,6.49
63,HIP 63,0.181785,45.253334,6.36
88,Tau Phe,0.269115,-48.809876,5.71
106,HIP 106,0.330195,49.981558,6.22
107,HIP 107,0.333825,-50.337373,5.53
122,The Oct,0.399240,-77.065724,4.78
124,HIP 124,0.404235,61.222801,5.58
128,HIP 128,0.413955,73.611846,6.50
137,HIP 137,0.432705,42.367144,6.25
145,29    Psc,0.456030,-3.027504,5.13
154,30    Psc,0.490080,-6.014072,4.37
171,85    Peg,0.542085,27.082256,5.80
183,Zet Scl,0.583005,-29.720414,5.04
186,31    Psc,0.600690,8.956824,6.33
194,32    Psc,0.623760,8.485463,5.70
207,HIP 207,0.650355,66.098966,5.87
238,HIP 238,0.739515,-20.045882,6.25
253,HIP 253,0.782715,-24.145145,6.46
274,HIP 274,0.857145,63.640520,6.24
301,2    Cet,0.934950,-17.335988,4.55
302,HIP 302,0.965130,66.712183,6.31
330,9    Cas,1.056930,62.287664,5.90
343,HIP 343,1.082475,-16.529036,5.78
345,HIP 345,1.084650,-29.268822,6.38
355,3    Cet,1.125495,-10.509523,4.99
365,HIP 365,1.152450,42.092530,6.11
377,HIP 377,1.171965,-71.436891,5.59
379,HIP 379,1.174560,67.166445,5.68
394,HIP 394,1.223595,34.659797,6.09
399,HIP 399,1.233300,26.648764,6.25
410,HIP 410,1.254930,27.674784,6.47
417,HIP 417,1.265925,-0.503035,6.32
418,HIP 418,1.275585,61.313970,5.80
443,33    Psc,1.333920,-5.707618,4.61
476,86    Peg,1.424835,13.396266,5.55
518,HIP 518,1.565340,58.436733,5.98
522,HIP 522,1.579155,-49.075191,5.70
531,10    Cas,1.610550,64.196168,5.57
544,HIP 544,1.653135,29.021502,6.07
560,HIP 560,1.708665,-23.107540,6.19
602,HIP 602,1.826115,-17.386990,6.20
635,HIP 635,1.933800,-2.548679,6.43
636,HIP 636,1.945395,-22.508560,5.93
655,HIP 655,2.014545,-33.529326,5.67
664,HIP 664,2.050395,-2.447711,6.18
671,HIP 671,2.073060,-8.824112,5.99
677,Alpheratz,2.096865,29.090432,2.07
695,HIP 695,2.136930,63.204040,6.41
696,HIP 696,2.139570,-17.578155,6.11
699,HIP 699,2.170650,36.627125,6.21
716,HIP 716,2.217210,25.462985,6.24
728,HIP 728,2.250675,28.247543,6.47
729,87    Peg,2.260080,18.211963,5.57
730,HIP 730,2.259900,-54.001931,6.32
746,Caph,2.293305,59.149780,2.28
760,HIP 760,2.332875,79.714545,6.01
761,Kap1Scl,2.337765,-27.987928,5.42
765,Eps Phe,2.352540,-45.747426,3.88
798,HIP 798,2.467110,-62.296794,6.34
813,34    Psc,2.509170,11.145813,5.54
814,Gam3Oct,2.509395,-82.224047,5.29
840,HIP 840,2.578620,-5.248588,5.84
841,22    And,2.580180,46.072272,5.01
873,HIP 873,2.678475,-12.579897,5.84
910,6    Cet,2.816085,-15.467977,4.89
930,Kap2Scl,2.893410,-27.799737,5.41
950,The Scl,2.933280,-35.133119,5.24
967,HIP 967,2.996115,48.152396,6.18
983,HIP 983,3.041595,-17.938278,5.29
1009,HIP 1009,3.142260,44.707195,6.50
1067,Algenib,3.308970,15.183596,2.83
1074,HIP 1074,3.331485,-84.993978,5.78
1076,HIP 1076,3.349680,26.987545,6.24
1086,23    And,3.378600,41.035370,5.71
1096,HIP 1096,3.426015,-26.022345,5.94
1099,HIP 1099,3.434910,-26.284959,6.14
1123,HIP 1123,3.509505,33.206039,6.22
1158,HIP 1158,3.615120,-7.780532,5.13
1168,89Chi Peg,3.650670,20.206702,4.79
1170,7    Cet,3.660075,-18.932866,4.44
1191,HIP 1191,3.727140,-9.569571,5.77
1193,HIP 1193,3.732900,22.284225,6.25
1195,HIP 1195,3.742725,-34.904223,6.17
1196,35    Psc,3.745155,8.820962,6.02
1208,HIP 1208,3.778950,31.535725,6.34
1215,HIP 1215,3.794010,27.283440,6.35
1268,HIP 1268,3.978855,-75.911615,6.49
1269,HIP 1269,3.978585,61.000172,6.43
1288,HIP 1288,4.036890,-31.446394,5.66
1296,HIP 1296,4.057905,76.950755,6.35
